Carimbo de data/hora,Qual faixa etária você se encaixa?,"Se você tivesse que escolher um computador hoje, quais caminhos você tomaria para realizar sua escolha? ",Você já se frustrou por comprar algum item devido a falta de informações?,Para qual finalidade você usaria seu computador?,Você utiliza um computador com qual frequência?
17/04/2021 17:28:50,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Sim,Tudo,6 ou mais vezes por semana.
17/04/2021 17:33:19,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,coisas da faculdade e até mesmo alguns jogos ,1 a 2 vezes por semana.
17/04/2021 17:33:55,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,estudos,3 a 5 vezes por semana.
17/04/2021 17:35:22,21 a 30 anos,Olhando as especificações técnicas do computador.,Não,estudo ,3 a 5 vezes por semana.
17/04/2021 17:38:37,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador.",Não,"Trabalho, estudo e diversao",6 ou mais vezes por semana.
17/04/2021 17:44:15,21 a 30 anos,Recorreria à alguém com conhecimento na área.,Sim,Faculdade,1 a 2 vezes por semana.
17/04/2021 17:48:46,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Sim,Cursos e afins,Não utilizo um computador.
17/04/2021 17:52:02,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,estudos ,6 ou mais vezes por semana.
17/04/2021 17:55:42,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,Realização de pesquisas e aulas online.,6 ou mais vezes por semana.
17/04/2021 18:04:29,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Não,Estudar ,3 a 5 vezes por semana.
17/04/2021 18:07:32,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Sim,.,6 ou mais vezes por semana.
17/04/2021 18:08:58,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Sim,Estudos,6 ou mais vezes por semana.
17/04/2021 18:09:21,21 a 30 anos,Olhando as especificações técnicas do computador.,Sim,Trabalho e lazer,6 ou mais vezes por semana.
17/04/2021 18:14:53,21 a 30 anos,Olhando as especificações técnicas do computador.,Não,"Estudo, e programação",6 ou mais vezes por semana.
17/04/2021 18:31:09,21 a 30 anos,Olhando as especificações técnicas do computador.,Sim,Jogos e estudo,6 ou mais vezes por semana.
17/04/2021 18:32:05,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Sim,Faculdade e jogos.,6 ou mais vezes por semana.
17/04/2021 18:33:17,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Sim,Uso para tudo,6 ou mais vezes por semana.
17/04/2021 18:44:07,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Não,Pra estudos!,6 ou mais vezes por semana.
17/04/2021 18:46:12,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,Estudos e recreação ,Não utilizo um computador.
