Carimbo de data/hora,Qual faixa etária você se encaixa?,"Se você tivesse que escolher um computador hoje, quais caminhos você tomaria para realizar sua escolha? ",Você já se frustrou por comprar algum item devido a falta de informações?,Para qual finalidade você usaria seu computador?,Você utiliza um computador com qual frequência?
21/04/2021 11:54:56,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Estudar ,3 a 5 vezes por semana.
21/04/2021 12:00:28,21 a 30 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Sim,"Estudo, Programacao, Trabalho, Games",6 ou mais vezes por semana.
21/04/2021 12:10:09,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Trabalho,6 ou mais vezes por semana.
21/04/2021 12:10:45,21 a 30 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Sim,Estudo,6 ou mais vezes por semana.
21/04/2021 12:11:40,41 anos ou +,Recorreria à alguém com conhecimento na área.,Não,Para estudos e interação com o mundo de hoje,3 a 5 vezes por semana.
21/04/2021 12:16:54,14 a 20 anos,Olhando as especificações técnicas do computador.,Não,Estudos e trabalho,6 ou mais vezes por semana.
21/04/2021 12:17:44,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Pesquisas.,6 ou mais vezes por semana.
21/04/2021 12:20:55,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Sim,"Jogar LOLzinho , e um Fogo Grátis. Estudar e fazer algumas pesquisas e trabalhos escolares.",3 a 5 vezes por semana.
21/04/2021 12:33:03,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Sim,"Trabalhar, estudar e jogar.",3 a 5 vezes por semana.
21/04/2021 12:34:41,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador.",Sim,Trabalho,6 ou mais vezes por semana.
21/04/2021 12:35:25,31 a 40 anos,Olhando as especificações técnicas do computador.,Sim,Trabalho ,6 ou mais vezes por semana.
21/04/2021 12:35:53,41 anos ou +,Recorreria à alguém com conhecimento na área.,Não,Trabalho ,3 a 5 vezes por semana.
21/04/2021 12:38:09,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Trabalho ,6 ou mais vezes por semana.
21/04/2021 12:41:15,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Não,Trabalho,6 ou mais vezes por semana.
21/04/2021 12:42:58,21 a 30 anos,Recorreria à alguém com conhecimento na área.,Sim,Trabalho ,3 a 5 vezes por semana.
21/04/2021 12:44:56,21 a 30 anos,Olhando as especificações técnicas do computador.,Sim,Trabalho e estudo.,6 ou mais vezes por semana.
21/04/2021 12:47:41,31 a 40 anos,Olhando as especificações técnicas do computador.,Sim,Trabalho/faculdade,6 ou mais vezes por semana.
21/04/2021 12:48:11,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Trabalho e uso pessoal,6 ou mais vezes por semana.
21/04/2021 12:50:15,41 anos ou +,Olhando as especificações técnicas do computador.,Sim,Trabalho,6 ou mais vezes por semana.
21/04/2021 12:52:26,21 a 30 anos,"Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Não,"Trabalho, sou arquiteta ",6 ou mais vezes por semana.
21/04/2021 12:58:02,41 anos ou +,Olhando as especificações técnicas do computador.,Não,Estudo e trabalho,6 ou mais vezes por semana.
21/04/2021 12:59:51,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Sim,trabalho,3 a 5 vezes por semana.
21/04/2021 13:04:01,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,trabalho,6 ou mais vezes por semana.
21/04/2021 13:05:40,21 a 30 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador.",Sim,Trabalhar,6 ou mais vezes por semana.
21/04/2021 13:08:29,14 a 20 anos,Olhando as especificações técnicas do computador.,Não,Pra estudar e trabalhar,6 ou mais vezes por semana.
21/04/2021 13:09:20,21 a 30 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,Trabalho ,6 ou mais vezes por semana.
21/04/2021 13:16:15,41 anos ou +,Olhando as especificações técnicas do computador.,Sim,Trabalho ,6 ou mais vezes por semana.
21/04/2021 13:17:49,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Sim,"Para a acessar a internet, usar pacote Office, para armazenar documentos e fotos importantes.",3 a 5 vezes por semana.
21/04/2021 13:19:18,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Trabalho ,1 a 2 vezes por semana.
21/04/2021 13:20:11,14 a 20 anos,Olhando as especificações técnicas do computador.,Sim,Estudo e hobbie,6 ou mais vezes por semana.
21/04/2021 13:21:04,21 a 30 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,Trabalho ,6 ou mais vezes por semana.
21/04/2021 13:21:45,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador.",Sim,Uso doméstico,1 a 2 vezes por semana.
21/04/2021 13:21:46,41 anos ou +,Recorreria à alguém com conhecimento na área.,Não,Trabalho,3 a 5 vezes por semana.
21/04/2021 13:21:52,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador.",Sim,Uso doméstico,1 a 2 vezes por semana.
21/04/2021 13:23:19,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Não,Estudar e navegar na internet ,6 ou mais vezes por semana.
21/04/2021 13:27:54,14 a 20 anos,Olhando as especificações técnicas do computador.,Sim,Estudos e trabalho ,6 ou mais vezes por semana.
21/04/2021 13:29:16,14 a 20 anos,Olhando as especificações técnicas do computador.,Não,Trabalhar e estudar,6 ou mais vezes por semana.
21/04/2021 13:29:26,31 a 40 anos,Recorreria à alguém com conhecimento na área.,Sim,Trabalhar e estudar,6 ou mais vezes por semana.
21/04/2021 13:31:07,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Não,JOGOS,6 ou mais vezes por semana.
21/04/2021 13:31:19,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Sim,"Estudo, lazer e trabalho",3 a 5 vezes por semana.
21/04/2021 13:31:19,41 anos ou +,Recorreria à alguém com conhecimento na área.,Não,Profissional,3 a 5 vezes por semana.
21/04/2021 13:32:14,31 a 40 anos,Recorreria à alguém com conhecimento na área.,Sim,Estudo ,1 a 2 vezes por semana.
21/04/2021 13:32:48,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Não,Estudar e jogar,6 ou mais vezes por semana.
21/04/2021 13:35:32,21 a 30 anos,Recorreria à alguém com conhecimento na área.,Sim,Para estudos ,6 ou mais vezes por semana.
21/04/2021 13:36:05,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Ativ acadêmicas,6 ou mais vezes por semana.
21/04/2021 13:37:15,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Sim,Trabalho,6 ou mais vezes por semana.
21/04/2021 13:37:28,21 a 30 anos,"Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Não,"Trabalho, sou arquiteta ",6 ou mais vezes por semana.
21/04/2021 13:38:02,31 a 40 anos,Recorreria à alguém com conhecimento na área.,Sim,"Trabalho, estudo.",6 ou mais vezes por semana.
21/04/2021 13:40:32,41 anos ou +,Recorreria à alguém com conhecimento na área.,Não,Trabalho,6 ou mais vezes por semana.
21/04/2021 13:40:35,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,"Ora estudos, dar aulas, comprar, entre outros",6 ou mais vezes por semana.
21/04/2021 13:41:15,21 a 30 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Sim,"Estudos, pesquisas, uso pessoal como ver vídeos, netflix",3 a 5 vezes por semana.
21/04/2021 13:43:54,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Não,"Estudo,  entretenimento,  trabalho,  pesquisa...",6 ou mais vezes por semana.
21/04/2021 13:44:11,21 a 30 anos,"Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Sim,Estudos da faculdade ,6 ou mais vezes por semana.
21/04/2021 13:46:57,41 anos ou +,Recorreria à alguém com conhecimento na área.,Não,Trabalho e família ,6 ou mais vezes por semana.
21/04/2021 13:48:37,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Pesquisas ,6 ou mais vezes por semana.
21/04/2021 13:48:47,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,"Trabalho, programação",6 ou mais vezes por semana.
21/04/2021 13:50:15,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Não,Jogar e trabalho,6 ou mais vezes por semana.
21/04/2021 13:51:04,21 a 30 anos,Recorreria à alguém com conhecimento na área.,Não,Trabalho,6 ou mais vezes por semana.
21/04/2021 13:51:39,21 a 30 anos,Recorreria à alguém com conhecimento na área.,Sim,Trabalho ,3 a 5 vezes por semana.
21/04/2021 13:54:45,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,Estudo,6 ou mais vezes por semana.
21/04/2021 13:58:52,21 a 30 anos,Olhando as especificações técnicas do computador.,Não,Jogar,6 ou mais vezes por semana.
21/04/2021 14:03:36,31 a 40 anos,Recorreria à alguém com conhecimento na área.,Não,para Estudar ,Não utilizo um computador.
21/04/2021 14:14:02,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Não,Para pesquisas ,3 a 5 vezes por semana.
21/04/2021 14:19:27,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Não,Para pesquisas ,3 a 5 vezes por semana.
21/04/2021 14:20:15,21 a 30 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Sim,Estudo,6 ou mais vezes por semana.
21/04/2021 14:23:31,31 a 40 anos,Olhando as especificações técnicas do computador.,Sim,"Para tudo, pois a tecnologia faz parte da nossa rotina. ",6 ou mais vezes por semana.
21/04/2021 14:43:28,21 a 30 anos,"Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Sim,"Estudos, tb (Netflix), jogos",6 ou mais vezes por semana.
21/04/2021 15:08:37,41 anos ou +,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,Gamer,6 ou mais vezes por semana.
21/04/2021 15:22:11,21 a 30 anos,Olhando as especificações técnicas do computador.,Não,Jogar,6 ou mais vezes por semana.
21/04/2021 15:40:23,14 a 20 anos,Olhando as especificações técnicas do computador.,Sim,"Jogar, estudar, programar, ver séries, animes, vídeos, ouvir música, etc",6 ou mais vezes por semana.
21/04/2021 15:54:11,41 anos ou +,"Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Não,Pessoal,6 ou mais vezes por semana.
21/04/2021 16:07:43,41 anos ou +,Recorreria à alguém com conhecimento na área.,Não,Fins profissionaus e domestico.,3 a 5 vezes por semana.
21/04/2021 16:13:36,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,Assistir coisas,3 a 5 vezes por semana.
21/04/2021 16:15:03,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Trabalho e coisas pessoais,6 ou mais vezes por semana.
21/04/2021 16:30:52,41 anos ou +,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Sim,Trabalho e estudo,6 ou mais vezes por semana.
21/04/2021 16:42:25,21 a 30 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Não,Trabalho com software ,6 ou mais vezes por semana.
21/04/2021 16:51:10,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Sim,"Trabalhar, estudar e jogar.",3 a 5 vezes por semana.
21/04/2021 17:05:23,31 a 40 anos,Olhando as especificações técnicas do computador.,Sim,Trabalho ,3 a 5 vezes por semana.
21/04/2021 17:09:05,41 anos ou +,Olhando as especificações técnicas do computador.,Não,Uso pessoal,6 ou mais vezes por semana.
21/04/2021 17:09:56,21 a 30 anos,Olhando as especificações técnicas do computador.,Não,jogar/trabalhar,6 ou mais vezes por semana.
21/04/2021 17:10:24,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Trabalho,6 ou mais vezes por semana.
21/04/2021 17:12:12,41 anos ou +,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Sim,"Dia a dia, consulta Internet e trabalhos escolares",1 a 2 vezes por semana.
21/04/2021 17:12:19,21 a 30 anos,Olhando as especificações técnicas do computador.,Sim,Estudando,6 ou mais vezes por semana.
21/04/2021 17:12:28,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Trabalhos faculdade,1 a 2 vezes por semana.
21/04/2021 17:12:40,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Trabalhos faculdade,1 a 2 vezes por semana.
21/04/2021 17:15:06,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,SITES DIVERSOS,6 ou mais vezes por semana.
21/04/2021 17:15:34,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Não,"Estudo, jogos e trabalho.",6 ou mais vezes por semana.
21/04/2021 17:19:39,21 a 30 anos,Recorreria à alguém com conhecimento na área.,Sim,Trabalho,6 ou mais vezes por semana.
21/04/2021 17:19:50,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Sim,"Trabalhar, estudar e jogar.",3 a 5 vezes por semana.
21/04/2021 17:23:13,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Trabalho,1 a 2 vezes por semana.
21/04/2021 17:23:45,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Sim,Estudos,3 a 5 vezes por semana.
21/04/2021 17:27:22,21 a 30 anos,Olhando as especificações técnicas do computador.,Não,Jogar,6 ou mais vezes por semana.
21/04/2021 17:36:20,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Sim,Trabalho,6 ou mais vezes por semana.
21/04/2021 17:39:09,41 anos ou +,Olhando as especificações técnicas do computador.,Não,Trabalho,6 ou mais vezes por semana.
21/04/2021 17:46:53,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Trabalho,6 ou mais vezes por semana.
21/04/2021 17:48:03,41 anos ou +,Olhando as especificações técnicas do computador.,Não,Uso pessoal,6 ou mais vezes por semana.
21/04/2021 17:50:21,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,"Trabalho, pesquisa",Não utilizo um computador.
21/04/2021 17:54:21,41 anos ou +,Olhando as especificações técnicas do computador.,Sim,Estudos e pesquisas,6 ou mais vezes por semana.
21/04/2021 17:58:23,21 a 30 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Não,Estudo e trabalho,Não utilizo um computador.
21/04/2021 18:01:35,41 anos ou +,Recorreria à alguém com conhecimento na área.,Não,Estudar,6 ou mais vezes por semana.
21/04/2021 18:02:37,14 a 20 anos,Olhando as especificações técnicas do computador.,Sim,Estudos/trabalho,6 ou mais vezes por semana.
21/04/2021 18:15:43,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Lazer e serviços,6 ou mais vezes por semana.
21/04/2021 18:18:32,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Navegar na internet ,6 ou mais vezes por semana.
21/04/2021 18:30:53,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Trabalho e estudo,1 a 2 vezes por semana.
21/04/2021 18:51:04,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Trabalho,6 ou mais vezes por semana.
21/04/2021 18:56:54,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Trabalho ,6 ou mais vezes por semana.
21/04/2021 19:01:52,41 anos ou +,"Recorreria à alguém com conhecimento na área., Pesquisaria nas paginas dos principais fabricantes de computadores.",Não,Trabalho,6 ou mais vezes por semana.
21/04/2021 19:03:42,41 anos ou +,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,"Trabalho, estudos",6 ou mais vezes por semana.
21/04/2021 19:17:25,21 a 30 anos,"Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Sim,"Estudos, tb (Netflix), jogos",6 ou mais vezes por semana.
21/04/2021 19:25:26,14 a 20 anos,Olhando as especificações técnicas do computador.,Sim,Estudos/trabalho,6 ou mais vezes por semana.
21/04/2021 19:31:55,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Trabalho e lazer,3 a 5 vezes por semana.
21/04/2021 19:37:17,41 anos ou +,Olhando as especificações técnicas do computador.,Sim,Trabalho ,6 ou mais vezes por semana.
21/04/2021 19:47:32,41 anos ou +,Olhando as especificações técnicas do computador.,Não,Trabalho e assuntos pessoais ,6 ou mais vezes por semana.
21/04/2021 19:51:34,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,"Trabalho, pesquisa",Não utilizo um computador.
21/04/2021 19:55:36,14 a 20 anos,Olhando as especificações técnicas do computador.,Sim,Trabalhar e estudar ,3 a 5 vezes por semana.
21/04/2021 20:00:48,21 a 30 anos,Recorreria à alguém com conhecimento na área.,Sim,Trabalho e estudo,6 ou mais vezes por semana.
21/04/2021 20:09:18,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Trabalho,6 ou mais vezes por semana.
21/04/2021 20:48:11,41 anos ou +,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Sim,Trabalho e lazer,6 ou mais vezes por semana.
21/04/2021 20:51:49,31 a 40 anos,Recorreria à alguém com conhecimento na área.,Não,"Trabalho, estudo.",6 ou mais vezes por semana.
21/04/2021 20:54:32,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Sim,Trabalho ,1 a 2 vezes por semana.
21/04/2021 21:24:33,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,Pesquisa,3 a 5 vezes por semana.
21/04/2021 21:32:46,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Sim,Trabalho e estudos,3 a 5 vezes por semana.
21/04/2021 21:54:28,14 a 20 anos,Olhando as especificações técnicas do computador.,Sim,Jogos ,6 ou mais vezes por semana.
21/04/2021 22:32:17,41 anos ou +,Recorreria à alguém com conhecimento na área.,Não,Trabalho,3 a 5 vezes por semana.
21/04/2021 22:34:09,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Uso pessoal e faculdade,3 a 5 vezes por semana.
21/04/2021 22:38:08,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Trabalho,6 ou mais vezes por semana.
21/04/2021 22:48:43,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Sim,Trabalho e faculdade,6 ou mais vezes por semana.
21/04/2021 22:57:38,31 a 40 anos,Recorreria à alguém com conhecimento na área.,Sim,Trabalho,6 ou mais vezes por semana.
21/04/2021 23:00:38,21 a 30 anos,Recorreria à alguém com conhecimento na área.,Sim,Trabalho ,3 a 5 vezes por semana.
22/04/2021 06:55:43,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Trabalho e questões pessoais. ,6 ou mais vezes por semana.
22/04/2021 07:14:24,31 a 40 anos,Recorreria à alguém com conhecimento na área.,Sim,Trabalho home office,3 a 5 vezes por semana.
22/04/2021 07:18:13,31 a 40 anos,Recorreria à alguém com conhecimento na área.,Não,Para estudo e algum entretenimento.,6 ou mais vezes por semana.
22/04/2021 08:33:30,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,Para estudo,3 a 5 vezes por semana.
22/04/2021 08:52:17,31 a 40 anos,Recorreria à alguém com conhecimento na área.,Não,"Aulas, planilhas, guardar documentos e fotos, uso de aplicativos obrigatórios, entretenimento",6 ou mais vezes por semana.
22/04/2021 11:01:12,14 a 20 anos,Olhando as especificações técnicas do computador.,Sim,Estudos/trabalho,6 ou mais vezes por semana.
22/04/2021 11:54:02,21 a 30 anos,Olhando as especificações técnicas do computador.,Não,Produção musical,3 a 5 vezes por semana.
22/04/2021 13:45:48,41 anos ou +,Olhando as especificações técnicas do computador.,Sim,Para trabalho,6 ou mais vezes por semana.
22/04/2021 15:13:58,41 anos ou +,Olhando as especificações técnicas do computador.,Sim,Trabalho ,6 ou mais vezes por semana.
22/04/2021 16:35:34,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Sim,Para estudos e consultas e diversão ,1 a 2 vezes por semana.
22/04/2021 16:58:06,41 anos ou +,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Não,Assistir as missas e eventos religiosos,Não utilizo um computador.
22/04/2021 18:03:10,41 anos ou +,Olhando as especificações técnicas do computador.,Sim,Trabalho ,6 ou mais vezes por semana.
22/04/2021 19:19:13,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Facebook,Não utilizo um computador.
22/04/2021 19:46:41,21 a 30 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Não,Trabalho com software ,6 ou mais vezes por semana.
